Comment,Sentiment,Sentiment_Type
mention go creat sever new video playlist replac one alreadi rough estim bootcamp playlist complet new stuff go ad replac year,0.057575758,Positive
fantast idear amaz gift entir commun thank lot alex time dedic make bootcamp share knowledg us,0,Neutral
anyon done mac window like download sql problem mac air feel stock,0,Neutral
wow soooo fantast thank much inform bootcamp video im gon na follow bootcamp curriculum wish ill send messag get job bootcamp sever month later im alreadi soooo excit thank,-0.05,Negative
midst career chang thank,0,Neutral
hey alex stuff your provid dope thank provid us,0,Neutral
best bootcamp start data analyst best man youtub field,1,Positive
hi alex listen data analyst get fire current compani search bootcamp know noth data analyst cours help get job,0,Neutral
thank much decid start journey month go back forth site cant afford watch video look practic complic life saver,0.1,Positive
ive stuck tutori hell wish free bootcamp help final concret pathway becom data analyst,0.2,Positive
ive never heard even ask tip would interest data analyst analyz effect ask tip,0,Neutral
thank servic,0,Neutral
thank much,0.2,Positive
pleas dont close rest year onlg start next month kindli beg,0,Neutral
thank give insight inspir peopl like right work progress scroll watch video make easier learn job want pursu futur hope could gain subscrib thank bottom heart,0.285714286,Positive
congratul new follow keep good work respect india,0.418181818,Positive
thank much god bless exactli person like get bless success,0.25,Positive
version window use,0,Neutral
thank,0,Neutral
excit alex thank,0,Neutral
thank alex opportun im take challeng want abl chang career enter new line work keep good work,0.418181818,Positive
thank man anyon downlaod certificat without learn first cheat,0.25,Positive
dont believ coincid never video anoth proof thank alex golden,0.3,Positive
thank alex boot camp,0,Neutral
thank much put togeth aimlessli bounc would learnif could start video found channel,0.2,Positive
bootcamp open mac user window user,0,Neutral
guy hero,0,Neutral
graduat bachelor decemb im unsur what next still want keep learn back done playlist,0,Neutral
thank much alex dont know describ thank ami decid work toward becom data analyst video inspir help deepli,0.2,Positive
free seem complet bootcamp around,0.4,Positive
god bless alex,0,Neutral
anyon old laptop start learn chromebook cant go,0.1,Positive
yo dope thank much,0.2,Positive
much respect im excit finish add linkedin,0.2,Positive
help lot materi refresh realli need project come year turn realli want get roll help good step right,0.492857143,Positive
everyth short alex look doubtsi anyth would help regard,0,Neutral
data analysi career difficult fail interview go year competit difficult bachelor degre still difficult get entri level posit im give say marathon sprint,-0.5,Negative
im greatful amaz gift word describ valuabl kind content bottom heart thank much wish best,0.6,Positive
alex thank ive look way enter bootcamp im thank chanc learn excel materi sure help along way analyt career,0.5,Positive
thank alex interest data analyt bit go great,0.8,Positive
far one best channel youtub thank alex share knowledg skill,0.55,Positive
thank save career autom,0,Neutral
bootcamp playlist alex analyst look way much better coursera cours,0.5,Positive
dude definit gon na check alway interest data analyst pay bootcamp expens thank make,0,Neutral
awsom alexthank ton brotherrespect india,0,Neutral
amaz thank much alex,0.2,Positive
alex goat thank,0,Neutral
hey alex what best macbook suggest start boot camp data analyst career,1,Positive
thankyou much alex im indonesia year old program basic think late learn,1.39E-17,Positive
amaz alex thank make bootcamp free excit join,0.4,Positive
hey alex said would add panda tutori seri bootcamp inquir caus realli anxiou would grate see inclus thank much,0.2,Positive
game changer current student last semest master program realli gateway school want learn skill dont extra incom throw lot cours bless pay forward though,-0.1,Negative
hi alex thank give bootcamp free coupl question start cours montessori teacher work softwar field year back also master degre comput scienc would like enter field long gap want someth doesnt includ heavi code someth get job easili much code data analyt possibl person like get back long gap thank,0.083333333,Positive
hi alex compani except certif reason ask run compani ask certif train plan take careerfoundri data analyst onlin cours think anyon help,0,Neutral
get bootcamp certif sir,0,Neutral
alreadi start alex god among men thank sooo much,0.2,Positive
thank alex channel resourc encourag,0,Neutral
god bless will learn stuff free thank creat platform,0.4,Positive
got chill cant wait get first certif prepar,0.25,Positive
hi alex access video order go releas weekli thank,0,Neutral
may god bless keep good health make free pleas need link becom data analyst begin end im interest part bootcamp,0.55,Positive
hi see still join booth camp though alreadi learn basic sql powerbi,0,Neutral
st step becom data analyst hope done bootcamp thank alex,0,Neutral
thank,0,Neutral
thank much god bless,0.2,Positive
need thesethank video pleas,0,Neutral
alex thank much free data analyst bootcamp your super amaz,0.366666667,Positive
watch video havent watch content data analyst bootcamp yet idea share help hand teach other excel great thank nice gestur sure new subscrib student thank man,0.382272727,Positive
thank u much alex u r chang life,0.2,Positive
thank much,0.2,Positive
alex thank help coupl followup question id like ask firstli advic find advanc project work addit ive notic mani entrylevel job post requir year experi dont recommend overcom qualif barrier still get foot door,0,Neutral
alexthank much amaz provid content free,0.3,Positive
alex your life save charismat great teacher,0.8,Positive
thank,0,Neutral
thankyou much alex cant thankyou enough,0.1,Positive
thank much mr alex,0.2,Positive
thank much alex,0.2,Positive
cant find better guid data analyst thank lot alex,0.5,Positive
need add test question abl score specif eg test get certif actual prevent misus certif also increas intrins valu bootcamp,0,Neutral
thank,0,Neutral
alway trade made data analyst train could free b thorough allencompass c need job readi seem minimum requir dose get someon jobreadi complet free your champ mate,0.4,Positive
hi alex got channel anoth youtub channelsomeon recommend woow woow free thank much,0.3,Positive
question im rel new wonder sql specif said video use mssql mysql plu coupl year old still relev video watch wait till mysql video thank,0.118181818,Positive
thank much give data analyst bootcamp free help lot india want da certif india averag price around k lakh current situat abl certif price abl certif brother thank thank much love india,0.275,Positive
sure alex thank lot organis cours,0.5,Positive
get tshirt want scream bootcamp,0,Neutral
brother alex youll seriosli get place heaven,0,Neutral
think excel ma first playlist recommend,0.25,Positive
thank alex sir,0,Neutral
someon want togeth,0,Neutral
never comment thank much,0.2,Positive
hi alex im glad found channel your lifesav thank understat,0.5,Positive
thank alex,0,Neutral
someon alreadi watch video write ive taken boot camp,0,Neutral
alex your good job free bootcamp mean wish peopl like your best thank,0.446875,Positive
unbeliev your amaz person ive look bootcamp could serious help understand everyth stretch keep good work peopl need youtubersinfluenc like lot love,0.288888889,Positive
hi alex need watch video first complet cours link first tandem,0.25,Positive
amaz thank much alex hope get lot subscrib deserv,0.2,Positive
thank alex,0,Neutral
thank much morocco start,0.2,Positive
awesom realli systemat learn cool stuff thank,0.35,Positive
im current enrol data analyt bootcamp careerfoundri websit formerli math teacher look make career chang thought data analyt right alley im complet new basic everi aspect data analyt came youtub hope find tutori supplement learn found say wow thank much make free ive alreadi paid bootcamp ill finish im definit go watch everi video complet everi project end ill two certif thank,0.013564214,Positive
thank alex word express gratitud priceless chang live power,0.568181818,Positive
thank sir,0,Neutral
alway love sometim man like came life th feb,0.5,Positive
lmao owe think,0.6,Positive
suggest power bi beginn cours relat data analyst udemi,0,Neutral
alex mani thank inde put togeth,0,Neutral
protect alex bodyguard point bad market youknowwho,-0.7,Negative
thank much alex help video help lot land job data analyst,0.2,Positive
thank much start soon,0.2,Positive
oh lawd lord heart,0,Neutral
havent found anyon data gener clear amaz alex freberg,0.1,Positive
alex favorit movi charact alex favorit mentorlik friend alex favorit youtub also alex realli enjoy watch video wan na get relax school workload profession stuffalmost watch everi day im intern student whose oral english isnt fluenti understand video without caption speak realli suck im realli interest databas decis make process realli wan na financi analyst begin work stagemi major manageri econom minor account sta commun abil limit lot plan learn data analyst minor sta fluenci requir data analyst realli sad oral speak weird express way,-0.115277778,Negative
alex thank bootcamp that encourag hope end cours month mayb less mayb good analysist experi skill english nativ languag may understand part good tri,0.308333333,Positive
thank alex,0,Neutral
thank bootcamp tutori sql save work exit jump next alway figur continu doubl employe name list dont know delet,0,Neutral
finish googl certif enjoy dont feel comfort appli buy new comput mac longer updat im definit go boot camp sahm month pregnant limit incom go perfect help,0.467424242,Positive
ive decid want transit data analyst career current job see dont think better sign transit especi sinc notic releas week ago subscrib follow,0.25,Positive
thankyou much alex kind selfless much appreci could chose make money howev gift skill free grate,0.35,Positive
hey alex thank pleas go add python video spoke,0,Neutral
want echo everyth alreadi said alex posit impact mani peopl alreadi ive got two children reli job thought secur that perform layoff due multimillion dollar mistak budget last year ive alway want get foot door data analyt cost boot camp prohibit famili truli grate,-0.0625,Negative
awesom alex thank share knowledg god bless alway,0,Neutral
consid lucki found youtub channel learn,0,Neutral
pay bootcamp finish got badg career servic concis great refresh free thank,0.6,Positive
thank,0,Neutral
thank,0,Neutral
thank video make video etl process data analyst,0,Neutral
prepar done bootcamp immedi start creat portfolio look advanc cours,0,Neutral
thank much alex think take bootcamp help get hire even nonu bachelor degre green card holder look get hire data analyst role unit state ask mani peopl path take land data analyst job take master degre good bootcamp like said bootcampand other said master degre total confus regard thing mention got bachelor degre comput engin nonu certif word recruit requir hold us certif get job alex analyst,0.115,Positive
word explain gratitud thank,0,Neutral
thank much,0.2,Positive
thank alex,0,Neutral
thank much quick question softwar would better follow along sql portion video sql mysql sure differ,0.444444444,Positive
thankyou alex need agood laptop work,0,Neutral
your angel god univers reward,0,Neutral
thank alex,0,Neutral
happi drop perfect time search start kind panick much awesom amaz thing alex,0.6,Positive
think pattern career switch seem difficult financi gave great hope thank much sir god bless beyond measur,0.166666667,Positive
thank alex,0,Neutral
thank lot alex great help time organ studi complet step share tag linkedin thank much congratul generos,0.5,Positive
fellow futur data analyst let skip ad give back free bootcamp thank alex share knowledg free,0.266666667,Positive
cant fed inform still make someth thank make life easier beginn,0,Neutral
thank much god bless,0.2,Positive
wow focu learn bootcamp till end trust experi,0.1,Positive
never comment youtub video show support simpli cuz realli valuabl anyon interest field thank,0,Neutral
thank much,0.2,Positive
god bless thank much best,1,Positive
think love alex need thank alex ill definit follow learn close,0,Neutral
alex pleas go bootcamp address data analyst need buy cours,0,Neutral
thank lot first day data analysi job would dedic succeed inshallah,0.25,Positive
hi alex great initi thank much could pleas let us know ad mysql video current playlist altern mssql,0.333333333,Positive
need less theori practic work difficult find web,-0.333333333,Negative
hi alex greatest thing world appreci intens,1,Positive
got laid nov rif even though im alreadi data analyst accountingtax hard find datacentr role would hire skill need portfolio beat crowd despit f experi thank alex free bootcamp cant afford anyth cost money,0.054166667,Positive
thank alex love muchiv will take cours data analyt paid cours cant afford made easi possiblei put best wont disappoint,0.75,Positive
thankyou man your amaz work us excit,0,Neutral
thank alex,0,Neutral
alex your amaz bro got interview come need power bi your life saver thank,0,Neutral
thx googl recommend amen,0,Neutral
thank im go googl certif touch thing feel though would like go back play program mention becam discourag work im push would like becom employ soon im see end tunnel use paramed get handson get hand dirti skill better way learn plu motiv result appli treatment skill someth good happen result project im move funni subcrib found encourag appreci even im glad follow waaay back thank god work,0.34,Positive
angst start whether video came thank go tri right,0.285714286,Positive
boot camp thank alex send messag complet boot camp,0,Neutral
thank alex,0,Neutral
thank much share knoledg,0.2,Positive
clue somebodi practic give away gold mine free kudo servic sure incred help everybodi use great job,0.566666667,Positive
thank alex,0,Neutral
thank alex,0,Neutral
thank alex im start journey today let know boot camp,0,Neutral
wont tarnish good name alex,0.7,Positive
thank much alex realli owe someth think great complement googl data analyt cours im,0.5,Positive
hi alex wonder realli put bootcamp project abl work compet would opinion base work limit bootcamp would averag averag averag technic seek work data analyst level point entri level cheer effort,-0.8,Negative
thank,0,Neutral
bro mad dope bless fam fr,-0.625,Negative
your awesom motiv final switch gear career becom data analyst want upbeat person put eas im excit start bootcamp thank alex,0,Neutral
bless lot folk includ myselfto get someth start field sometim financi issu block path initi move even start,0,Neutral
alextheanalyst thank make cours extrem simpl initi didnt see link video best,1,Positive
iron alreadi creat youtub playlist video order want learn call data analyst crash cours great work thank,0.8,Positive
someon who scam mytechbestfriend tech bootcamp past year im thank,-0.25,Negative
serious free wow,0.055555556,Positive
omg thank,0,Neutral
anyon abl calcul number hour video vid less intro video,-0.166666667,Negative
thank alex wish health success lifebless,0.3,Positive
thank alex bootcamp start today,0,Neutral
thank creat content help public upgrad skillset,0,Neutral
thank much hype start today,0.2,Positive
thank alex realli go long way data analyt journey,-0.05,Negative
realli amaz alex recent got data analysi alreadi follow video found super easi follow use playlist even structur learn journey wait continu learn finish project thank stay amaz,0.166666667,Positive
hi alex video inspir thank much,0.2,Positive
godsent godsent want shift career data analysi enrol data analyst cours refocu digit academi enrol month borrow money parent money name im mooch parent right sinc pandem laid embarrass gave hope cancel enrol good thing still within day cancel ill cours instead thank,0.161904762,Positive
god bless alex,0,Neutral
thank alex,0,Neutral
realli amaz use interest pursu data analyst thank much,0.2,Positive
thank youuu amaz work alex go channel often,0,Neutral
wow look new cert pad resum finish googl one year ago want expand knowledg time get watch,0.118181818,Positive
good work present data scienc field boom lot institut platform charg much money learn data scienc nice work keep,0.375,Positive
definit take advantag thank much generos appreci aspir data analyst philippin,0.2,Positive
kind beauti person ty much,0.4,Positive
amaz alex long look bootcamp begin data analyt journey god reward immens thank man,-0.05,Negative
look search good free resourc hole cours sincer god bless thank much,0.433333333,Positive
alex godsent info free wow thank much,0.233333333,Positive
thank much share,0.2,Positive
anyon join get certif mean countri condit,-0.3125,Negative
im almost done python video start boot camp seri cool skip,0.35,Positive
sever video use da bootcamp good half resum work end im quiet happi launch,0.177777778,Positive
thank cols tab focu one playlist,0,Neutral
respect think bootcamp enough get data analyst job,0,Neutral
im poor cant afford boot camp despit desir learn im excit learn your saint,-0.4,Negative
feel like data analyst space get oversatur similar way softwar engin everyon mom bootcamp appli swe role,0,Neutral
thank opportun,0,Neutral
alex job data analyst go autom soon chatgpt bard,0,Neutral
alex job data analyst go autom soon chatgpt bard,0,Neutral
realli help thx much,0.2,Positive
he awesom,0,Neutral
thank lot alex start self learn data analyt past month video quit help mayb consid charg littl fee incred highqual work probabl make lot money data analyst think peopl understand,-0.25,Negative
alex thank go start work thank much,0.2,Positive
thank much alex pleas access start bootcamp,0.2,Positive
thank much need,0.2,Positive
thank,0,Neutral
wow thank effort realli appreci,0.1,Positive
thank much alex excit ever sinc mention linkedin done project last year confid start review love excit share us trust us use opportun rightli alway look forward content thank,0.233333333,Positive
thank much alex may god bless,0.2,Positive
thank much alex great resourc,0.5,Positive
pleas help aspir data analyst first video sql video connct server alway error dont kmow strt,0.25,Positive
man show failur model boot camp said screw,0,Neutral
thank man good job give like say believ complet boot camp good download certif put name word forc thank cours certif thank,0.7,Positive
thank much make full boot camp cours free,0.316666667,Positive
thank sir realli appreci,0,Neutral
alex ever sinc subscrib channel year usual refer legendari alex legendari friend good work,0.225,Positive
great look chang career path power bi excel user alreadi wan na ask cover basic move intermedi stuff pleas repli get timestay bless,0.2,Positive
alex one good peopl still earth may god bless let live longer benefit intellig,0.418181818,Positive
thank priceless,1,Positive
thankyou much alex,0.2,Positive
colleg take bs medic technolog rd year realli feel like someth wrong shouldnt drop univers last decemb whole year work side hustl onlin tri figur realli want life last septemb saw data analyst onlin cours ad start search yt found channel realli want enrol onlin cours tuition fee new laptop cost lot cant realli afford yet januari start watch playlist excel sql late finish power bi playlist also got new laptop instal plan right realli start work project excel sql power bi handson experi actual decid save learn python later sinc im current prepar appli entrylevel data analyst posit requir intermedi advanc skill excel might start learn python soon work project also post hope get posit earn money continu learn work your like person mentor alex learn lot channel still long way ahead wish luck,-0.00762987,Negative
need colleg bootcamp alex day come final land job know thank,0,Neutral
thank alex your best,1,Positive
sound like lot fun im master degre go right along appreci hard work,0.173511905,Positive
youuuu didd realli vari great alex curiou start pleas like comment see stay bless,0.8,Positive
well good im sure itll lot good see certif sign alexand mildli disconcert said,0.633333333,Positive
challeng accept,0,Neutral
begin journey data analyt express invalu content often feel overwhelm tri learn field refresh someon help mani question thank much,0.2,Positive
thank alex,0,Neutral
alex thank much ive learn data analyst cours need improv may god alway bless amaz teach peopl around world free,0.3,Positive
alex ive seen compani transit ssm snowflak think go changeimpact technolog mention video,0,Neutral
thank alex friend tech commun mentor mani learner,0,Neutral
thank much,0.2,Positive
wow simpli amazingit come show much good someon compani god bless,0.4,Positive
cool,0.35,Positive
thank much look forward tri soon know bootcamp datacamp etc quit expens,0.2,Positive
alex discov video coupl week ago reviv want data analyst need improv skill explan clear one minor comment need use pointer highlight replay video sometim find click recommend way goal go entir bootcamp anoth thought sinc good chunk mayb miniatur certif complet complet project area award bootcamp certif complet segmentsproject thought,0.25,Positive
start journey today alex thank,0,Neutral
thank lot sir,0,Neutral
sir im confus pleas what differ data analyst data scienc,0,Neutral
thank much creat learn path realli need appli better job thank,0.35,Positive
there go lot competit go advanc stuff udemi coursera,0,Neutral
omg bruh fuck help man thank realli,-0.4,Negative
say thank much need peopl like,0.2,Positive
also watch gothamchess alex,0,Neutral
alex thank much put mani incred content togeth,0.2,Positive
thank alex,0,Neutral
alex thank everyth,0,Neutral
alex dont take wrong way go spend time weekend im gon na saturday im go sunday,-0.5,Negative
alex dont think understand brilliant thank much definit goal mine work toward data analyst youv save seriou cash,0.55,Positive
bro liter think today gon na get data analyt without resourc u r truli great work thank man youll hav huge part career develop,0.6,Positive
thank alex,0,Neutral
man chang live thousand peopl free truli bless individu thank hard work share knowledg year,0.081565657,Positive
dude amaz one thing would put right edg would sprinkl lesson new origin music along way sayin,0.211038961,Positive
thank much alex make playlist quit job fulli immers data analysi univers side,0.2,Positive
guy disturb whole industri bootcamp cost perspect alon qualiti perspect,0.2,Positive
thank alex seen one video year ago someth told look current googl coursera certif data analyt free time go watch video thank organ boot camp make much easier dont prior background stuff want learn someth new help,0.147272727,Positive
alexxxxx love definit ton us good,0.6,Positive
thank began journey complet bootcamp,0,Neutral
hi alex realli appreci free help us build career path even believ us give us mean learn without get debt wonder think still necessari go courseraudemi cours know probabl detail specif topic im full time student comput program hope help case work part time last semest im look priorit littl spare time get data analyst job time graduat april would definit complet bootcamp though thank amaz content,0.109375,Positive
haha amazingal video alreadi exist need playlist wonder idea,0.2,Positive
hero wear cape legend call alex nuff said,0,Neutral
wow alex amaz thank much,0.15,Positive
love man mentor toward becom data analyst,0.5,Positive
awesom thank sir,0,Neutral
thank,0,Neutral
thank content free would awesom would specifi number hour spent bootcamp certif,0.15,Positive
could spark joke ill get certif thank gather valuabl inform alex,-0.5,Negative
thank alex,0,Neutral
thank much alex realli amaz work youv creat thank share free im person grate opportun learn great content confid ill becom better analyt journey cheer alex,0.28,Positive
great vid alex your fav youtub tip strengthen analysi skill ive practic technic skill still troubl find new insight data,0.468181818,Positive
thank god,0,Neutral
thank especi free take lot work put thing togeth hope peopl enjoy person watch least one video everi week alway someth im look alreadi cover,0.166666667,Positive
man organis cours data analyt man youtub even udemi doesnt,0,Neutral
appreci much thank,0.2,Positive
oh alex thank enough help seen say lot thank thank thank one day hope abl tell person much idol,0.1,Positive
bootcamp excit see profession bootcamp mr alex,0,Neutral
thank alex,0,Neutral
thank much alex underprivileg peopl like grate given chanc chang live better roadtobecomeadataanalyst,0.278787879,Positive
hey alex pleas use free version tool use analysi process bootcamp,0.4,Positive
thank much creat your god work,0.2,Positive
great thank mr alex,0.8,Positive
thank,0,Neutral
big thumb pleas he best,0.5,Positive
thank booth camp,0,Neutral
fantast help solidifi current skill ad area thank wonder could also make video analyst mindset thing like problem solv framework attack new project problem outsid implement,0.068181818,Positive
thank much alex im almost done googl cert feel like would need experi perfect,0.6,Positive
hey alex bootcam help fresher get job,0,Neutral
thank,0,Neutral
amaz ive learn bloc week im super excit see dont think know much your help peopl like ill start master hope septemb im eager head start academ year begin bless alex wish even greater success,0.166666667,Positive
that awesom definit complet want point way issu digit bad certif legit commonli accept identifi busi organ,-0.7,Negative
word thank much help,0.2,Positive
haha great thank man,0.5,Positive
thank much make definit told coupl peopl look forward start soon,0.2,Positive
thank alex truli make world better place tri get data analyt need confid skill finish bootcamp even know excel powerbi sql,0.5,Positive
lucki one subscrib kudo alex thankyou much,0.2,Positive
thank much alex endeavor realli invalu believ mani peopl get priceless knowledg bootcamp,0.6,Positive
much math one know data analyst,0.2,Positive
u f kiddin ive came across bootcamp add data analyst minut ago couldnt sign cuz im unemploy rn reason ur video pop nd cover everi topic paid bootcamp im excit,0,Neutral
thank much take time creat free resourc beginn learn new career generos willing share knowledg make signific impact peopl live help reach full potenti contribut commun greatli appreci,0.245454545,Positive
alex analyst imagin much help given channel sit remot area pakistan becom googl certifi data analyst lot thank,0.2,Positive
thank resourc,0,Neutral
tqsm alex great job realli help us beggin data analysi field hat u,0.8,Positive
wow amaz thank much realli appreci readi delv,0.15,Positive
god will one day ador analyst ador name way deepli love nich content hope show analys data mysql start finish record date till present take love man energet smile,0.325,Positive
spent lot time procrastin doubt whether could im take sign univers take plung start data analyt journey thank alex your godsend,-0.1,Negative
thank much alex great servic,0.5,Positive
free serious lot commun would otherwis cost peopl much thank million take time put togeth aspir even continu analyst think would great revis well keep good work,0.353333333,Positive
amaz brother thank much,0.2,Positive
came across post linkedin one connect like grate fantast opportun stay tune thank amaz alex,0,Neutral
hello alex first sincer gratitud free cost wonder incas watch cours video randomli structur manner though come consider get certif,0.325,Positive
save livessssss thank alex,0,Neutral
thank put effort make cours free realli appreci,0.4,Positive
thank much,0.2,Positive
wow thank alex,0.1,Positive
kudo alex first free youtub data analyt bootcamp favourit analyst,0.325,Positive
help alex thank much free video provid inspir aspir skill data analyst futur make sure pass act kind forward may come back tenfold greet,0.375,Positive
lol congratul play love idea cant wait dive,0.65,Positive
thank alex great work,0.8,Positive
realli one stop channel da dreamer want make realiti dilig view video earn certif thank make effort video share knowledg,0,Neutral
thank much alex,0.2,Positive
excit got alert drop thank much alex ive done project alreadi ill start top playlist today,0.066666667,Positive
thank alex nownow analyst year old ladi africa super excit realli thank,0.216666667,Positive
truli amaz thank put much effort give us qualiti content much learn free im sure put lot time effort thank,0.325,Positive
cant wait lock boot camp im complet googl analyt cours feel like broad come softwar thank extens content,0.0625,Positive
thank much hard work realli want get data analyst lost much inform internet current studi googl data analyst certif coursera also learn bootcamp great thank,0.177083333,Positive
thank alex make move forward lot,0,Neutral
like univers answer prayer im definit go thank much,0.2,Positive
awesom serious excit one,-0.333333333,Negative
thank alex huge,0.4,Positive
thank sir think sure help understand other lot,0.1875,Positive
thank alex save unemploy brotherinlaw,0,Neutral
thank much,0.2,Positive
month sinc stumbl page two month bit confid use sql thank,0,Neutral
awesom alex thank lot creat use content,0,Neutral
time learn think creat commun interact learner alex,0,Neutral
thank alex work alway inspir believ hundr thousand subscrib well good job,0.7,Positive
thank alex,0,Neutral
awesom final wait thank alex ad mysql tutori bootcamp,0,Neutral
thank best way studi luch time,1,Positive
alex best alex analyst thank teacher,1,Positive
thank video playlist free yr old degre want learn video thank much,0.233333333,Positive
ive follow account forgot sub lol tri book mark video order take get career data analyt get nurs plu cert complet major plu thank everyth aspir data analyst much love,0.454166667,Positive
thank trust us,0,Neutral
thank came right time decid dive data analysi,0.285714286,Positive
sir respect thank lot student india,0,Neutral
true bless went back colleg chang career fundrais data analyt close finish line year half trip havent project show resum class fastpac take probabl degre much knowledg unemploy k debt school alon angel true angel donat famili land first job,0.163888889,Positive
thank alex found upcom bootcamp video youtub earn subscrib,0,Neutral
alex question content seen datacamp regard data analyst video long much longer like hour hour even couldnt cours long video multipl choic question answer see content short video even minut hardli hour realli wonder heart datacamp video made long unlik definit gon na check video follow along content bootcamp wan na make sure get profici short video lectur still need follow long video might line short video content realli need answer okay make sure bootcamp without make excus heheh thank,0.108333333,Positive
excel look forward ill finish googl data analyt cours first ill hop bootcamp mani thank alex,-0.25,Negative
thank,0,Neutral
great start journey honestli game changer,0.2,Positive
thank alex gift beginn spent much money cours bootcamp amaz idea,0.05,Positive
time thank alex video help mani peopl god bless,0,Neutral
thank alex start new direct banger awesom,0.118181818,Positive
hi alex want start project much difficulti instal softwar basic microsoft sql server wast day still success,0.166666667,Positive
thank much awesom,0.2,Positive
thank alex learnt know data analyt via channel cover practic close video portfolio cant wait finish remain earn certif,0,Neutral
thank put im look forward complet bootcamp earn certif im current way googl career certif data analyt hope keep learn thank,0,Neutral
thank alex,0,Neutral
hope get bless tenfold thank alex,0,Neutral
thank,0,Neutral
your hero truli thank,0,Neutral
thank alex certif part could improv mayb post project github repo way,0,Neutral
thank alex realli mean lot,-0.3125,Negative
thank alextheanalyst,0,Neutral
thank alex help,0,Neutral
final found mentor thank good im bless thank alex,0.35,Positive
alreadi portfolio websit web scrap projectwhich think tutori longer work amazon need learn im excit follow along cours,0,Neutral
thank much alex your great help us,0.5,Positive
thank alex,0,Neutral
alex thank much,0.2,Positive
amaz alex ive look ms train program data analyst found ok find video much help see ive dream work year famili life current job hold back kid older free time definit get bootcamp thank also thank inspir walk path lovefromsweden,0.211111111,Positive
thank much,0.2,Positive
thank alex,0,Neutral
thank much life chang,0.2,Positive
ur real alex analyst fan alreadi complet bootcamp,0.2,Positive
wow thank much ive studi nice certif go along free,0.325,Positive
actual dont know video premier show recommend thought sure hit notifi button im actual blown away thorough bootcamp creat peopl free free certif top im consid data analyt want googl cours get time im uni test water bootcamp creat seem amaz would love give go decid continu field great stuff,0.3875,Positive
wjat chess rate,0,Neutral
one appreci aspir data analyt thank much current enrol googl data analyt money subscrib certif grade section use free bootcamp get job use money expand skill continu learn googl data analyt coursera thank u much much appreci,0.2,Positive
thank much alex current make sql tableau portfolio resum finish make portfolio websit youtub video realli great beginn appreci work great day,0.45,Positive
give hope human thank alex,0,Neutral
word express gratitud want get data analyt overwhelm idea start im hope thank much,0.2,Positive
thank much alex sir im download video week back im learn practic pythonsql thank much love india,0.233333333,Positive
im start today thank alex complet playlist realli want brave bootcamp end wish luck,0.8,Positive
video beacon inspir anyon struggl pursu passion data analysi everi time feel frustrat word encourag bring back track thank amaz job keep content inform also engag,0,Neutral
thank free bootcamp boss alex,0.4,Positive
pleas let get alex million subscrib there way one person awesom,0,Neutral
hi alex kudo thank awesom bootcamp im great fan work feel great part thank make learn easier,0.8,Positive
hero need time thank much us,0.2,Positive
alex thank much make content free even make comprehens playlist quit becom unbear much money need spent get bootcamp dont even know result beginnerlow level analyst im gon na check playlist everi singl day bottom heart thank,0.175,Positive
thank alex,0,Neutral
thank enjoy sql seri,0.4,Positive
thank alex,0,Neutral
thank lot realli need,0,Neutral
thank lot alex im pretti sure help lot peopl aim becam data analyst grea job,0.5,Positive
thank lot alex sure great help person like start learn data scienc god bless,0.65,Positive
thank experi appreci time us beginn use cours strengthen knowledg da,0,Neutral
hi alex thank much im eager bootcamp,0.2,Positive
current follow playlist data analyst portfolio project good actual feel like someth meaning thank provid free load love india,0.32,Positive
mind blown realli feel like live futur hail alex,0.136363636,Positive
thank much cant wait get start,0.2,Positive
peopl comment earli way access unlist video earli,0,Neutral
alex best,1,Positive
check twitter page everyday god bless,-0.2,Negative
thank alex make proud,0.8,Positive
final mentor great thank alex,0.4,Positive
thank much alex,0.2,Positive
sometim simpl thank good enoughbut thank,0.7,Positive
alex thank million,0,Neutral
thank put togeth would realli help,0,Neutral
love content alex thought certif bit think cz everyon use even didnt take cours sort examin test least barrier,0.1,Positive
hat,0,Neutral
thank alex,0,Neutral
excit thank look forward start boot camp,0,Neutral
dear allah pleas bless man long life good health nice wife mani obedi piou children,0.416666667,Positive
messiah peopl want transit data analysi role content pure gold god bless,0.214285714,Positive
thank much,0.2,Positive
alex much mani thank much good work great work free remain bless im nigeria west africa much love,0.52,Positive
that awesom real,0.2,Positive
helloooo alex got right timeactu pay left join expens cours charolt risk spend save learn thank god found man ask allah bless guidanc that egypt,0.142857143,Positive
thank alex,0,Neutral
damn love thank alex,0.5,Positive
thank share great,0.8,Positive
would recommend make video make data analysi present playlist great,0.4,Positive
thank alex,0,Neutral
make video charg freelanc data analyst,0,Neutral
thank alex content chang lot live,0.136363636,Positive
wow great content playlist thx lot,0.45,Positive
alex video help much past bootcamp like gold peopl wont abl afford paid bootcamp god bless thank much,-0.025,Negative
excit alway come back video advis thank alway make easier happi continu new path,0.068181818,Positive
thank much alex,0.2,Positive
thank,0,Neutral
thank alex,0,Neutral
wow thank impress,0.1,Positive
make certif credli avail,0,Neutral
ye troubl updat resum data analysi descript thank,0,Neutral
inspir shift data analyt career may god bless thank much,0.2,Positive
great alex like ur contentthank,0.8,Positive
im happi alex thank much us,0.2,Positive
sincer appreci channel alex mentor channel give much inspir thank much,0.2,Positive
